requestid,tokenid,reconciliationidentity,versionnumber,serialnumber,manufacturername,workgroup,modifieddate,totalphysicalmemory,createdate,numberofslots,ReconciliationRuleId
000000000000600|000000000009742,,OI-C1AD4DC677E611EFBFFD52F50F8528D8,WC Auto Version,4898bbca-05b9-41b6-b91b-4fe0e0c8e84c,Manufacturer1,perf engineering,1726934936,4,1726901678,8,110
000000000000695|000000000011295,,OI-C1D2D26C77E611EF886852F50F8528D8,WC Auto Version,269ce200-f6ff-49c9-b8a8-ab91db4e777f,Manufacturer1,perf engineering,1726934936,4,1726901691,8,110
000000000000710|000000000011525,,OI-C20B840E77E611EF88B952F50F8528D8,WC Auto Version,d9903091-62d5-466e-8ffc-de147141f532,Manufacturer1,perf engineering,1726934936,4,1726901693,8,110
000000000000614|000000000009974,,OI-BC55367277E611EFB86352F50F8528D8,WC Auto Version,6aec9152-c98c-46f2-8d1a-5145409dfbce,Manufacturer1,perf engineering,1726934936,4,1726901680,8,110
000000000000704|000000000011454,,OI-BC51EB1677E611EFB85D52F50F8528D8,WC Auto Version,92083500-fe66-42db-a335-1abe5d38c75a,Manufacturer1,perf engineering,1726934936,4,1726901692,8,110
000000000000629|000000000010229,,OI-BC55793477E611EFB86452F50F8528D8,WC Auto Version,482c5833-3143-438b-b741-496b4926dff3,Manufacturer1,perf engineering,1726934936,4,1726901682,8,110
000000000000608|000000000009886,,OI-BC51FC0A77E611EFB85E52F50F8528D8,WC Auto Version,f7260945-9c74-410e-afb6-94537a6518d7,Manufacturer1,perf engineering,1726934936,4,1726901679,8,110
000000000000581|000000000009445,,OI-BC4D9AF277E611EFB85752F50F8528D8,WC Auto Version,a154e5df-8d0e-4b9b-be69-3c9ec7be10d9,Manufacturer1,perf engineering,1726934936,4,1726901675,8,110
000000000000630|000000000010233,,OI-B6FD99DA77E611EFB03552F50F8528D8,WC Auto Version,54f129a3-342d-4125-ac4c-aa7fc6ac5ba9,Manufacturer1,perf engineering,1726934936,4,1726901682,8,110
000000000000596|000000000009690,,OI-BC4FA73477E611EFB85852F50F8528D8,WC Auto Version,3f3eb9aa-20e7-41cb-9325-9763f5127187,Manufacturer1,perf engineering,1726934936,4,1726901677,8,110
000000000000668|000000000010863,,OI-B6FD254A77E611EFB03252F50F8528D8,WC Auto Version,dbbeb767-038b-4f12-982b-48427c195a77,Manufacturer1,perf engineering,1726934936,4,1726901687,8,110
000000000000509|000000000008248,,OI-B6FD8EC277E611EFB03452F50F8528D8,WC Auto Version,4f0764cf-3a12-4ac8-a779-71212691ad1d,Manufacturer1,perf engineering,1726934936,4,1726901665,8,110
000000000000665|000000000010788,,OI-B6FDAB5077E611EFB03652F50F8528D8,WC Auto Version,249b72dc-d57c-4ce3-9435-2ed2df6782e5,Manufacturer1,perf engineering,1726934936,4,1726901687,8,110
000000000000743|000000000012084,,OI-B6FF767477E611EFB04152F50F8528D8,WC Auto Version,d8d92649-f94b-4b5a-84bf-80315612e41c,Manufacturer1,perf engineering,1726934936,4,1726901697,8,110
000000000000503|000000000008140,,OI-B6FF7D2277E611EFB04252F50F8528D8,WC Auto Version,7539f8af-d4eb-4587-8d2f-0ad0f4272fcc,Manufacturer1,perf engineering,1726934936,4,1726901663,8,110
000000000000539|000000000008759,,OI-B6FE840877E611EFB03C52F50F8528D8,WC Auto Version,baaed49b-d389-4da8-a2a7-a25dd6fb9bf9,Manufacturer1,perf engineering,1726934936,4,1726901669,8,110
000000000000494|000000000007976,,OI-B6FF527A77E611EFB03F52F50F8528D8,WC Auto Version,e12cea96-d69b-431d-b6e2-2d28a256af9c,Manufacturer1,perf engineering,1726934936,4,1726901663,8,110
000000000000492|000000000007977,,OI-C159483E77E611EFBFDF52F50F8528D8,WC Auto Version,cd6eabc7-e8f1-4218-a350-cda4f5874530,Manufacturer1,perf engineering,1726934936,4,1726901663,8,110
000000000000578|000000000009396,,OI-C15B82B677E611EFBFE352F50F8528D8,WC Auto Version,2a2698ae-b30d-4f9a-9e77-7840ac1c0b54,Manufacturer1,perf engineering,1726934936,4,1726901674,8,110
000000000000671|000000000010915,,OI-C15985EC77E611EFBFE152F50F8528D8,WC Auto Version,28ae6ff6-4446-4b45-889e-bc250305bf4b,Manufacturer1,perf engineering,1726934936,4,1726901688,8,110
000000000000788|000000000012811,,OI-C15C18CA77E611EFBFE452F50F8528D8,WC Auto Version,379b6a1f-90b6-41ce-866a-bf2d99ff9a9d,Manufacturer1,perf engineering,1726934936,4,1726901704,8,110
000000000000585|000000000009498,,OI-C15CCE0A77E611EFBFE552F50F8528D8,WC Auto Version,92630b9b-883b-446e-b9da-50f1192ab1fc,Manufacturer1,perf engineering,1726934936,4,1726901675,8,110
000000000000752|000000000012238,,OI-C15D281E77E611EFBFE652F50F8528D8,WC Auto Version,10ac2e0b-642b-47f0-8270-907bfc529287,Manufacturer1,perf engineering,1726934936,4,1726901699,8,110
000000000000770|000000000012532,,OI-C63FBC5C77E611EF905B52F50F8528D8,WC Auto Version,0acbba1e-3d3f-40df-9270-57e48697275d,Manufacturer1,perf engineering,1726934936,4,1726901702,8,110
000000000000554|000000000009004,,OI-C6403FC477E611EF905C52F50F8528D8,WC Auto Version,e2072e7b-4f10-4bdc-b0ac-a0e6caf5841a,Manufacturer1,perf engineering,1726934936,4,1726901671,8,110
000000000000782|000000000012728,,OI-C640B2C477E611EF905D52F50F8528D8,WC Auto Version,3efbef51-784e-4c86-88dc-fea92e1996d5,Manufacturer1,perf engineering,1726934936,4,1726901703,8,110
000000000000677|000000000011013,,OI-C640E29477E611EF905E52F50F8528D8,WC Auto Version,a5a892d1-2a13-46d3-91f3-19973ede1ce4,Manufacturer1,perf engineering,1726934936,4,1726901689,8,110
000000000000548|000000000008889,,OI-C642970677E611EF905F52F50F8528D8,WC Auto Version,3caacf50-6951-443f-b0f1-8406c48749fe,Manufacturer1,perf engineering,1726934936,4,1726901670,8,110
000000000000515|000000000008317,,OI-C64BAECC77E611EF906352F50F8528D8,WC Auto Version,ae292441-5978-48b1-85ee-0367cbdeaff8,Manufacturer1,perf engineering,1726934936,4,1726901665,8,110
000000000000650|000000000010572,,OI-C636092877E611EF904B52F50F8528D8,WC Auto Version,4be97b39-0014-40f5-89d2-f3e069f5e410,Manufacturer1,perf engineering,1726934936,4,1726901685,8,110
000000000000779|000000000012657,,OI-C163AA0E77E611EFBFE752F50F8528D8,WC Auto Version,a3e804ab-10f5-4855-8b6e-f53ea7eb9e8d,Manufacturer1,perf engineering,1726934936,4,1726901702,8,110
000000000000569|000000000009249,,OI-C63CE1E477E611EF905752F50F8528D8,WC Auto Version,08b441c7-b949-48a4-bdf2-d63de52124cd,Manufacturer1,perf engineering,1726934936,4,1726901673,8,110
000000000002033|000000000033112,,OI-79D22340783211EFBCA352F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926712,8,130
000000000001790|000000000029184,,OI-7556E792783211EFB4DA52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926695,8,130
000000000001919|000000000031198,,OI-70369172783211EFACA752F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926704,8,130
000000000001691|000000000027575,,OI-79D53B70783211EFBCA752F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926687,8,130
000000000000644|000000000010474,,OI-BC50670A77E611EFB85952F50F8528D8,WC Auto Version,db413528-d80c-4c42-b2b1-c860e3c44e04,Manufacturer1,perf engineering,1726934936,4,1726901684,8,110
000000000000771|000000000012533,,OI-BC5DD37277E611EFB86B52F50F8528D8,WC Auto Version,eb3d3575-217a-4121-89ba-6e9a01dbe2d6,Manufacturer1,perf engineering,1726934936,4,1726901702,8,110
000000000000662|000000000010768,,OI-BC55935677E611EFB86552F50F8528D8,WC Auto Version,fb505158-b6df-4024-a9c6-ee0975ed618e,Manufacturer1,perf engineering,1726934936,4,1726901687,8,110
000000000000590|000000000009572,,OI-BC5F98EC77E611EFB86D52F50F8528D8,WC Auto Version,ae587959-3ec6-4643-a4db-700f0549155f,Manufacturer1,perf engineering,1726934936,4,1726901676,8,110
000000000000557|000000000009018,,OI-BC559E7877E611EFB86652F50F8528D8,WC Auto Version,0952a327-e16c-453b-9c73-650f9a518e99,Manufacturer1,perf engineering,1726934936,4,1726901671,8,110
000000000000740|000000000012014,,OI-BC56780C77E611EFB86752F50F8528D8,WC Auto Version,b4da6c54-a12b-45ca-9041-3801b4c070a3,Manufacturer1,perf engineering,1726934936,4,1726901697,8,110
000000000000575|000000000009324,,OI-BC57470A77E611EFB86852F50F8528D8,WC Auto Version,4384e656-318a-412c-bf3b-7ca6f5330268,Manufacturer1,perf engineering,1726934936,4,1726901674,8,110
000000000001799|000000000029276,,OI-89C66C8E783211EFA2E852F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926696,8,130
000000000001982|000000000032242,,OI-892AF592783211EFA25252F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926708,8,130
000000000001841|000000000029885,,OI-7F8169CC783211EFB44552F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926698,8,130
000000000001679|000000000027379,,OI-84B5F8E0783211EFBC8A52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726924124,8,130
000000000002078|000000000033836,,OI-84B931A4783211EFBC8E52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926714,8,130
000000000001831|000000000029790,,OI-80F653C6783211EFB5CA52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926698,8,130
000000000002037|000000000033193,,OI-7FC23312783211EFB47752F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926712,8,130
000000000000734|000000000011944,,OI-B6FCB86277E611EFB02E52F50F8528D8,WC Auto Version,e2fd1612-51a1-43d0-83c7-6e1d5ac4bc1e,Manufacturer1,perf engineering,1726934936,4,1726901696,8,110
000000000000623|000000000010131,,OI-B6FCB8C677E611EFB02F52F50F8528D8,WC Auto Version,6e6062d1-29ae-432e-9254-28229ff331d3,Manufacturer1,perf engineering,1726934936,4,1726901681,8,110
000000000002129|000000000034713,,OI-4E3C38EC783211EFB1CB52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926719,8,130
000000000001916|000000000031170,,OI-4E3C760E783211EFB1CF52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926704,8,130
000000000001769|000000000028804,,OI-4E3D043E783211EFB1D152F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926694,8,130
000000000001889|000000000030753,,OI-4E3D4296783211EFB1D352F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926702,8,130
000000000000659|000000000010719,,OI-BC5804D877E611EFB86952F50F8528D8,WC Auto Version,f1c6d592-6b71-4a7e-b4ee-b37422c10616,Manufacturer1,perf engineering,1726934936,4,1726901686,8,110
000000000001757|000000000028653,,OI-5C75EE76783211EF8BF952F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926693,8,130
000000000002000|000000000032609,,OI-614E50C8783211EF942052F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926710,8,130
000000000002006|000000000032671,,OI-5C7A9BF6783211EF8BFF52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926710,8,130
000000000001827|000000000029776,,OI-5C7C6882783211EF8C0152F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926698,8,130
000000000001811|000000000029389,,OI-61FB0C28783211EF94B052F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926696,8,130
000000000001711|000000000027808,,OI-6154FFE0783211EF942552F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926689,8,130
000000000001964|000000000032003,,OI-79D72F5C783211EFBCAB52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926706,8,130
000000000002027|000000000033063,,OI-74F3DD28783211EFB48952F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926712,8,130
000000000001793|000000000029220,,OI-74F4E236783211EFB48B52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926696,8,130
000000000001774|000000000028842,,OI-7079AD40783211EFACE652F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926694,8,130
000000000001829|000000000029784,,OI-75E6FD1E783211EFB59352F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926698,8,130
000000000001707|000000000027790,,OI-70F7E994783211EFAD9152F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926689,8,130
000000000001920|000000000031212,,OI-710663E8783211EFADA652F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926704,8,130
000000000001898|000000000030874,,OI-7ACDC74A783211EFBDCC52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926702,8,130
000000000000722|000000000011749,,OI-C154F3E277E611EFBFD752F50F8528D8,WC Auto Version,e050c897-8a68-46b2-9b3e-3b061e057af6,Manufacturer1,perf engineering,1726934936,4,1726901695,8,110
000000000000593|000000000009641,,OI-C15B4FB277E611EFBFE252F50F8528D8,WC Auto Version,717d7241-0221-4f8d-83fd-0d309173b567,Manufacturer1,perf engineering,1726934936,4,1726901676,8,110
000000000001991|000000000032364,,OI-66363C36783211EF9C5052F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926708,8,130
000000000001997|000000000032573,,OI-663D3E82783211EF9C5552F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926709,8,130
000000000001859|000000000030282,,OI-664B2876783211EF9C6352F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926700,8,130
000000000001900|000000000030899,,OI-667989E6783211EF9C8352F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926702,8,130
000000000001947|000000000031681,,OI-668C086E783211EF9C9552F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926706,8,130
000000000001682|000000000027428,,OI-66CE253C783211EF9CFA52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726924294,8,130
000000000001883|000000000030692,,OI-84CF8828783211EFBCAB52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926702,8,130
000000000002054|000000000033398,,OI-8507263E783211EFBCED52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926712,8,130
000000000002060|000000000033562,,OI-851AF4FC783211EFBD0B52F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926714,8,130
000000000001925|000000000031347,,OI-8458349E783211EFBC3752F50F8528D8,WC Auto Version,,Manufacturer1,perf engineering,1726934936,4,1726926704,8,130
